Tstart,Tinterval,ExtraSamples,RequestedLength,Length,A,B
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.063051238656044,9.59318828582764
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.036042358726263,9.77080631256104
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.00903347879648209,9.77080631256104
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0179754011332989,9.59318828582764
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0449842810630798,9.41557025909424
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0674916803836823,9.23795318603516
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0945005640387535,8.70510005950928
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.117007963359356,8.17163562774658
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.139515370130539,7.8164005279541
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.162022769451141,7.10592985153198
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.180028691887856,6.39545869827271
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.19803461432457,5.68437767028809
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.216040521860123,4.61867141723633
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.229544967412949,3.72997212409973
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.238547936081886,2.84188365936279
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.252052366733551,1.95318460464478
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,0.887478232383728
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,-0.000610370188951492
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.265556812286377,-1.06631672382355
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.265556812286377,-1.95501565933228
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,-2.84310436248779
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.2565538585186,-3.73180341720581
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.247550889849663,-4.79750967025757
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,-5.50859117507935
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.22504349052906,-6.21906185150146
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.211539044976234,-7.10776090621948
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.19353312253952,-7.64061403274536
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.175527200102806,-8.1734676361084
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.153019800782204,-8.70632076263428
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.130512401461601,-9.06216621398926
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.103503525257111,-9.23978424072266
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0809961259365082,-9.59501934051514
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0539872422814369,-9.77263736724854
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0224768817424774,-9.77263736724854
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.00453199865296483,-9.59501934051514
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0315408781170845,-9.41740131378174
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0585497617721558,-9.23978424072266
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0855586379766464,-8.88454818725586
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.112567521631718,-8.35108470916748
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.135074928402901,-7.8182315826416
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.162083804607391,-7.10776090621948
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.184591203927994,-6.39667940139771
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.202597126364708,-5.68620872497559
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.220603048801422,-4.97573757171631
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.238608971238136,-3.90942096710205
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.247611925005913,-3.19895005226135
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,-2.13263344764709
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,-1.24454486370087
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.270119339227676,-0.178228095173836
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.274620801210403,0.709860503673553
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.270119339227676,1.77556693553925
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,2.84188365936279
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,3.55235457420349
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.252113401889801,4.44044303894043
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.238608971238136,5.32914209365845
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.22510452568531,6.21723079681396
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.207098603248596,6.92831182479858
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.189092680811882,7.63878297805786
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.171086758375168,7.9940185546875
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.148579359054565,8.52748203277588
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.126071959733963,9.06033515930176
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0990630835294724,9.23795318603516
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0720541998744011,9.41557025909424
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0450453199446201,9.77080631256104
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0225379187613726,9.77080631256104
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.00447096163406968,9.77080631256104
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0314798429608345,9.41557025909424
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0584887228906155,9.23795318603516
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0809961259365082,8.88271713256836
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.103503525257111,8.52748203277588
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.130512401461601,7.9940185546875
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.148518323898315,7.28354740142822
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.171025723218918,6.5730767250061
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.189031645655632,5.86199522018433
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.207037568092346,4.97390651702881
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.22504349052906,4.26282548904419
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.234046444296837,3.37473678588867
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.247550889849663,2.30841994285583
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.2565538585186,1.4203314781189
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,0.532242774963379
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.265556812286377,-0.533463537693024
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.265556812286377,-1.4221625328064
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.265556812286377,-2.48786878585815
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,-3.37656784057617
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.2565538585186,-4.26465654373169
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,-5.15335559844971
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.229544967412949,-5.86382627487183
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.220542013645172,-6.5742974281311
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.202536091208458,-7.28537845611572
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.184530168771744,-7.995849609375
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.162022769451141,-8.52870273590088
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.139515370130539,-8.88454818725586
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.117007963359356,-9.23978424072266
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0899990871548653,-9.41740131378174
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0674916803836823,-9.59501934051514
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.035981323570013,-9.59501934051514
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.00897244177758694,-9.59501934051514
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0180364400148392,-9.59501934051514
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0450453199446201,-9.23978424072266
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0720541998744011,-8.88454818725586
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0990630835294724,-8.52870273590088
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.126071959733963,-7.995849609375
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.148579359054565,-7.46299648284912
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.171086758375168,-6.75191497802734
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.19359415769577,-6.04144430160522
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.211600080132484,-5.33097314834595
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.229606002569199,-4.44227409362793
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.243110448122025,-3.55418562889099
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.252113401889801,-2.48786878585815
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,-1.59978032112122
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.270119339227676,-0.711081266403198
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.274620801210403,0.354625076055527
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.270119339227676,1.24271368980408
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.270119339227676,2.13080239295959
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,3.19711899757385
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.25661489367485,4.08520746231079
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.243110448122025,4.97390651702881
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.229606002569199,5.68437767028809
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.216101571917534,6.39545869827271
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.19809564948082,7.28354740142822
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.180089727044106,7.8164005279541
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.157582327723503,8.34986400604248
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.135074928402901,8.70510005950928
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.112567521631718,9.23795318603516
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0855586379766464,9.41557025909424
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.063051238656044,9.59318828582764
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.036042358726263,9.77080631256104
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.00903347879648209,9.77080631256104
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0179754011332989,9.59318828582764
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0449842810630798,9.23795318603516
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0674916803836823,9.06033515930176
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0945005640387535,8.70510005950928
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.117007963359356,8.17163562774658
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.139515370130539,7.63878297805786
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.162022769451141,6.92831182479858
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.184530168771744,6.39545869827271
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.19803461432457,5.50675964355469
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.216040521860123,4.79628896713257
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.229544967412949,3.72997212409973
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,2.84188365936279
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.252052366733551,1.95318460464478
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.2565538585186,0.887478232383728
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,-0.000610370188951492
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.265556812286377,-1.06631672382355
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.265556812286377,-1.95501565933228
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,-2.84310436248779
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.2565538585186,-3.73180341720581
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.247550889849663,-4.79750967025757
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,-5.50859117507935
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.22504349052906,-6.39667940139771
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.211539044976234,-7.10776090621948
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.189031645655632,-7.64061403274536
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.171025723218918,-8.1734676361084
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.153019800782204,-8.70632076263428
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.126010924577713,-9.23978424072266
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.103503525257111,-9.23978424072266
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0809961259365082,-9.59501934051514
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0539872422814369,-9.59501934051514
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.026978362351656,-9.59501934051514
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.00453199865296483,-9.59501934051514
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0315408781170845,-9.41740131378174
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0585497617721558,-9.23978424072266
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0855586379766464,-8.70632076263428
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.112567521631718,-8.35108470916748
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.139576405286789,-7.8182315826416
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.162083804607391,-7.10776090621948
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.184591203927994,-6.39667940139771
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.202597126364708,-5.68620872497559
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.220603048801422,-4.79750967025757
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.238608971238136,-3.90942096710205
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.247611925005913,-3.02072215080261
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,-2.13263344764709
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,-1.24454486370087
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.270119339227676,-0.178228095173836
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.270119339227676,0.709860503673553
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.274620801210403,1.77556693553925
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,2.66426587104797
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.25661489367485,3.55235457420349
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.247611925005913,4.44044303894043
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.238608971238136,5.32914209365845
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.22510452568531,6.03961324691772
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.207098603248596,6.75069427490234
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.189092680811882,7.46116542816162
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.171086758375168,8.17163562774658
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.148579359054565,8.70510005950928
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.126071959733963,9.06033515930176
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0990630835294724,9.23795318603516
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0720541998744011,9.59318828582764
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0495468005537987,9.59318828582764
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,0.0225379187613726,9.77080631256104
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.00897244177758694,9.77080631256104
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.026978362351656,9.41557025909424
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0584887228906155,9.23795318603516
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.0809961259365082,8.88271713256836
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.103503525257111,8.34986400604248
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.130512401461601,7.8164005279541
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.153019800782204,7.10592985153198
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.171025723218918,6.5730767250061
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.189031645655632,5.86199522018433
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.207037568092346,5.15152454376221
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.22504349052906,4.26282548904419
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.234046444296837,3.37473678588867
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,2.30841994285583
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.2565538585186,1.4203314781189
-2.66266994231046e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,0.532242774963379
